Name,Authentic Player Name Search,Face Pic,Player ID,Club,Nationality,Birth Date,Age,Wage USD,Wage EUR,Wage GBP,Primary,Secondary,Tertiary,Overall
Müller,Kevin Müller,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p202873.png,202873,1. FC Heidenheim,Germany,1991-03-15,33,22000,20500,17500,GK,,,75
Thomalla,Denis Thomalla,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p200954.png,200954,1. FC Heidenheim,Germany,1992-08-16,31,14500,13500,11500,CAM,CM,,69
Eicher,Vitus Eicher,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p200466.png,200466,1. FC Heidenheim,Germany,1990-11-05,33,6700,6100,5200,GK,,,66
Theuerkauf,Norman Theuerkauf,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p183573.png,183573,1. FC Heidenheim,Germany,1987-01-24,37,13000,12000,10000,CDM,LB,,71
Maloney,Lennard Maloney,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p240669.png,240669,1. FC Heidenheim,United States,1999-10-08,24,20000,18500,15500,CDM,CM,,73
Spahic,Avdo Spahić,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p243735.png,243735,1. FC Kaiserslautern,Bosnia Herzegovina,1997-02-12,27,2700,2500,2100,GK,,,64
Kaloč,Filip Kaloč,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p69983.png,69983,1. FC Kaiserslautern,Czech Republic,2000-02-27,24,5500,5100,4300,CM,CDM,,68
Mause,Jannik Mause,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p276312.png,276312,1. FC Kaiserslautern,Germany,1998-07-11,25,6600,6100,5200,ST,,,68
Kleinhansl,Florian Kleinhansl,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p263089.png,263089,1. FC Kaiserslautern,Germany,2000-08-11,23,3200,2900,2500,LB,,,65
Heuer,Jannis Heuer,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p262903.png,262903,1. FC Kaiserslautern,Germany,1999-07-29,24,4200,3900,3300,CB,,,67
Tomiak,Boris Tomiak,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p262119.png,262119,1. FC Kaiserslautern,Germany,1998-09-11,25,8900,8200,6900,CB,CDM,,71
Tachie,Richmond Tachie,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p252710.png,252710,1. FC Kaiserslautern,Germany,1999-04-21,25,5600,5200,4400,ST,RM,,67
Hanslik,Daniel Hanslik,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p248434.png,248434,1. FC Kaiserslautern,Germany,1996-10-06,27,5900,5400,4600,ST,LM,CAM,67
Raschl,Tobias Raschl,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p247721.png,247721,1. FC Kaiserslautern,Germany,2000-02-21,24,5500,5100,4300,CM,CDM,,68
Krahl,Julian Krahl,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p244417.png,244417,1. FC Kaiserslautern,Germany,2000-01-22,24,4600,4200,3600,GK,,,69
Opoku,Aaron Opoku,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p244234.png,244234,1. FC Kaiserslautern,Germany,1999-03-28,25,6100,5600,4800,RM,LW,RW,68
Ache,Ragnar Ache,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p235360.png,235360,1. FC Kaiserslautern,Germany,1998-07-28,25,13500,12500,10500,ST,,,73
Wekesser,Erik Wekesser,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p229925.png,229925,1. FC Kaiserslautern,Germany,1997-07-03,26,4900,4500,3800,LB,LM,,67
Ronstadt,Frank Ronstadt,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p230047.png,230047,1. FC Kaiserslautern,Germany,1997-07-21,26,4900,4500,3800,RB,LB,RM,67
Redondo,Kenny Prince Redondo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p229171.png,229171,1. FC Kaiserslautern,Germany,1994-08-29,29,6600,6100,5200,LM,ST,CAM,68
Ritter,Marlon Ritter,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p223755.png,223755,1. FC Kaiserslautern,Germany,1994-10-15,29,10500,9800,8300,CAM,CM,CDM,71
Zimmer,Jean Zimmer,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p216381.png,216381,1. FC Kaiserslautern,Germany,1993-12-06,30,4900,4500,3800,RB,RM,,67
Gyamerah,Jan Gyamerah,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p216416.png,216416,1. FC Kaiserslautern,Germany,1995-06-18,29,7200,6600,5600,RB,LB,,69
Zuck,Hendrick Zuck,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p210304.png,210304,1. FC Kaiserslautern,Germany,1990-07-21,33,4200,3900,3300,LB,LM,,66
Klement,Philipp Klement,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p205086.png,205086,1. FC Kaiserslautern,Germany,1992-09-09,31,5400,5000,4200,CAM,CM,CDM,67
Sirch,Luca Sirch,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73135.png,73135,1. FC Kaiserslautern,Germany,1999-06-14,25,2200,2000,1700,CB,CDM,,59
Robinson,Leon Robinson,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73136.png,73136,1. FC Kaiserslautern,Germany,2001-07-11,22,2000,1800,1500,CB,,,57
Haas,Mika Haas,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73137.png,73137,1. FC Kaiserslautern,Germany,2005-08-11,18,650,600,500,LB,,,59
Blum,Shawn Blum,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p269942.png,269942,1. FC Kaiserslautern,Germany,2003-01-14,21,2100,1900,1600,RW,LW,CAM,56
Heck,Fabian Heck,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73134.png,73134,1. FC Kaiserslautern,Luxembourg,2005-04-21,19,750,700,600,GK,,,57
Touré,Almamy Touré,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p227873.png,227873,1. FC Kaiserslautern,Mali,1996-04-28,28,7200,6600,5600,CB,RB,RM,69
Abiama,Dickson Abiama,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p257190.png,257190,1. FC Kaiserslautern,Nigeria,1998-11-03,25,4800,4400,3800,ST,,,66
Aremu,Afeez Aremu,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p242744.png,242744,1. FC Kaiserslautern,Nigeria,1999-10-03,24,3600,3300,2800,CDM,CM,,66
Elvedi,Jan Elvedi,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p256705.png,256705,1. FC Kaiserslautern,Switzerland,1996-09-30,27,5800,5300,4500,CB,,,68
Adamyan,Sargis Adamyan,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p218534.png,218534,1. FC Köln,Armenia,1993-05-23,31,5500,5000,4300,ST,LM,CAM,67
Ljubičić,Dejan Ljubičić,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p240916.png,240916,1. FC Köln,Austria,1997-10-08,26,13500,12500,10500,CM,CDM,RM,74
Kainz,Florian Kainz,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p195038.png,195038,1. FC Köln,Austria,1992-10-24,31,15000,14000,12000,CAM,LM,,76
Huseinbašić,Denis Huseinbašić,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p269922.png,269922,1. FC Köln,Bosnia Herzegovina,2001-07-03,22,7200,6600,5600,CM,CDM,,70
Soldo,Nikola Soldo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p271681.png,271681,1. FC Köln,Croatia,2001-01-25,23,4000,3600,3100,CB,,,67
Carstensen,Rasmus Carstensen,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p250854.png,250854,1. FC Köln,Denmark,2000-11-10,23,5500,5100,4300,RB,,,69
Christensen,Jacob Christensen,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p244692.png,244692,1. FC Köln,Denmark,2001-06-25,23,7500,6900,5800,CDM,,,71
Finkgräfe,Max Finkgräfe,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p277887.png,277887,1. FC Köln,Germany,2004-03-27,20,4600,4200,3600,LB,LM,CM,69
Downs,Damion Downs,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p274944.png,274944,1. FC Köln,Germany,2004-07-06,19,2500,2300,1900,ST,,,65
Bakatukanda,Elias Bakatukanda,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p273931.png,273931,1. FC Köln,Germany,2004-04-13,20,1600,1500,1300,CB,,,61
Schmid,Maximilian Schmid,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p272454.png,272454,1. FC Köln,Germany,2003-03-05,21,1900,1800,1500,ST,RW,,60
Nickisch,Jonas Nickisch,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p267460.png,267460,1. FC Köln,Germany,2004-05-21,20,1100,1000,900,GK,,,60
Urbig,Jonas Urbig,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p263887.png,263887,1. FC Köln,Germany,2003-08-08,20,5900,5400,4600,GK,,,73
Obuz,Marvin Obuz,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p261528.png,261528,1. FC Köln,Germany,2002-01-25,22,5200,4800,4000,RM,LM,,68
Lemperle,Tim Lemperle,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p256564.png,256564,1. FC Köln,Germany,2002-02-05,22,6700,6200,5300,ST,,,69
Martel,Eric Martel,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p256942.png,256942,1. FC Köln,Germany,2002-04-29,22,11500,10500,8800,CDM,CM,,75
Thielmann,Jan Thielmann,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p254660.png,254660,1. FC Köln,Germany,2002-05-26,22,9400,8600,7300,RM,ST,RB,72
Kilian,Luca Kilian,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p248878.png,248878,1. FC Köln,Germany,1999-09-01,24,7500,6900,5800,CB,,,71
Maina,Linton Maina,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p242997.png,242997,1. FC Köln,Germany,1999-06-23,25,10500,9500,8100,LM,RM,,72
Köbbing,Matthias Köbbing,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p239510.png,239510,1. FC Köln,Germany,1997-05-28,27,1700,1600,1400,GK,,,56
Dietz,Florian Dietz,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p238957.png,238957,1. FC Köln,Germany,1998-08-03,25,3600,3300,2800,ST,,,64
Tigges,Steffen Tigges,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p238656.png,238656,1. FC Köln,Germany,1998-07-31,25,5300,4800,4100,ST,,,67
Hübers,Timo Hübers,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p234727.png,234727,1. FC Köln,Germany,1996-07-20,27,13000,12000,10500,CB,,,75
Schwäbe,Marvin Schwäbe,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p224041.png,224041,1. FC Köln,Germany,1995-04-25,29,12500,11500,9900,GK,,,77
Waldschmidt,Luca Waldschmidt,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p220085.png,220085,1. FC Köln,Germany,1996-05-19,28,12000,11000,9500,ST,CAM,,72
Heintz,Dominique Heintz,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p206198.png,206198,1. FC Köln,Germany,1993-08-15,30,8700,8000,6800,CB,LB,,71
Uth,Mark Uth,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p200318.png,200318,1. FC Köln,Germany,1991-08-24,32,12500,11500,9600,CAM,ST,LM,73
Pentke,Philipp Pentke,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p156437.png,156437,1. FC Köln,Germany,1985-05-01,39,1900,1700,1500,GK,,,66
Harchaoui,Fayssal Harchaoui,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p74043.png,74043,1. FC Köln,Germany,2006-01-15,18,550,500,450,CDM,,,55
Pauli,Julian Pauli,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73956.png,73956,1. FC Köln,Germany,2005-07-18,18,600,550,500,CB,,,59
Wäschenbach,Meiko Wäschenbach,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p74004.png,74004,1. FC Köln,Germany,2004-01-13,20,1600,1500,1200,CM,,,52
Onuoha,Chilohem Onuoha,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73426.png,73426,1. FC Köln,Germany,2005-05-07,19,1300,1200,1000,CAM,ST,RW,59
M. El Mala,Malek El Mala,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p71177.png,71177,1. FC Köln,Germany,2005-04-02,19,1500,1400,1200,ST,CB,,56
S. El Mala,Said El Mala,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p71178.png,71178,1. FC Köln,Germany,2006-08-26,17,300,300,250,CAM,,,59
Pacarada,Leart Paqarada,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p223633.png,223633,1. FC Köln,Kosovo,1994-10-08,29,9200,8400,7100,LB,,,71
Olesen,Mathias Olesen,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p265799.png,265799,1. FC Köln,Luxembourg,2001-03-21,23,3800,3500,2900,CM,CAM,,66
Potocnik,Jaka Čuber Potočnik,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p74003.png,74003,1. FC Köln,Slovenia,2005-06-17,19,1500,1400,1200,ST,,,60
Ouro-Tagba,Mansour Ouro-Tagba,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p275274.png,275274,1. FC Köln,Togo,2004-12-17,19,1500,1400,1200,ST,LM,,60
Mathisen,Marcus Mathisen,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p228757.png,228757,1. FC Magdeburg,Denmark,1996-02-27,28,7900,7200,6100,CB,,,69
Amaechi,Xavier Amaechi,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p242119.png,242119,1. FC Magdeburg,England,2001-01-05,23,4800,4400,3800,RW,RM,,66
Loric,Samuel Loric,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p252078.png,252078,1. FC Magdeburg,France,2000-07-05,23,3500,3200,2700,LB,RB,,65
Hugonet,Jean Hugonet,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p251519.png,251519,1. FC Magdeburg,France,1999-11-24,24,5400,5000,4200,CB,CDM,,68
Kampa,Robert Kampa,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p277281.png,277281,1. FC Magdeburg,Germany,2005-02-13,19,850,750,650,GK,,,57
El Zein,Abu Bekir Ömer El Zein,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p270073.png,270073,1. FC Magdeburg,Germany,2003-02-18,21,2600,2400,2100,CM,LM,,63
Heber,Daniel Heber,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p269314.png,269314,1. FC Magdeburg,Germany,1994-07-04,29,6600,6100,5200,CB,,,68
Kruth,Noah Kruth,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p264208.png,264208,1. FC Magdeburg,Germany,2003-06-24,21,1500,1400,1200,GK,,,62
Michel,Falko Michel,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p264215.png,264215,1. FC Magdeburg,Germany,2001-01-14,23,3800,3500,3000,LM,CAM,CM,65
Ceka,Jason Ceka,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p262898.png,262898,1. FC Magdeburg,Germany,1999-11-10,24,6600,6100,5200,RW,RM,CAM,68
Nollenberger,Alexander Nollenberger,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p250947.png,250947,1. FC Magdeburg,Germany,1997-06-04,27,5500,5000,4300,LW,LM,RM,66
Krempicki,Connor Krempicki,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p243881.png,243881,1. FC Magdeburg,Germany,1994-09-14,29,5300,4800,4100,CM,CAM,,66
Müller,Tobias Müller,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p239928.png,239928,1. FC Magdeburg,Germany,1994-07-08,29,6600,6100,5200,CB,,,68
Chahed,Tarek Chahed,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p238974.png,238974,1. FC Magdeburg,Germany,1996-06-23,28,3400,3100,2700,RB,,,63
Hercher,Philipp Hercher,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p229267.png,229267,1. FC Magdeburg,Germany,1996-03-21,28,5300,4800,4100,RM,RB,,66
Reimann,Dominik Reimann,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p228607.png,228607,1. FC Magdeburg,Germany,1997-06-18,27,5100,4700,4000,GK,,,68
Leipertz,Robert Leipertz,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p211736.png,211736,1. FC Magdeburg,Germany,1993-02-01,31,7600,6900,5900,ST,RM,LM,68
Jürgen,Marc-André Jürgen,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73495.png,73495,1. FC Magdeburg,Germany,2000-01-01,24,2100,2000,1700,LB,,,58
Kuhinja,Emir Kuhinja,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p70436.png,70436,1. FC Magdeburg,Germany,2002-04-19,22,2800,2600,2200,ST,,,61
Gnaka,Silas Gnaka,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p237155.png,237155,1. FC Magdeburg,Ivory Coast,1998-12-18,25,7100,6600,5600,CDM,CB,,69
Ito,Tatsuya Itō,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p241240.png,241240,1. FC Magdeburg,Japan,1997-06-26,27,6400,5900,5000,LW,LM,,67
Hoti,Andi Hoti,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p270900.png,270900,1. FC Magdeburg,Kosovo,2003-03-02,21,3800,3500,3000,CB,,,67
Dzogovic,Eldin Dzogovic,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p264649.png,264649,1. FC Magdeburg,Luxembourg,2003-06-08,21,1800,1600,1400,RB,CB,,60
Marušić,Aleksa Marušić,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73680.png,73680,1. FC Magdeburg,Montenegro,1999-06-08,25,4200,3800,3300,ST,,,64
El Hankouri,Mo El Hankouri,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p234740.png,234740,1. FC Magdeburg,Morocco,1997-07-01,27,8200,7500,6400,LM,LB,ST,69
Kaars,Martijn Kaars,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p269264.png,269264,1. FC Magdeburg,Netherlands,1999-03-05,25,5300,4800,4100,ST,CAM,,66
Nadjombe,Pierre Nadjombe,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p73294.png,73294,1. FC Magdeburg,Togo,2003-05-10,21,2100,1900,1600,RB,,,62
Atik,Barış Atik,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p233520.png,233520,1. FC Magdeburg,Turkey,1995-01-09,29,12500,11500,9800,LW,CAM,LM,71
Bockhorn,Herbert Bockhorn,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p252014.png,252014,1. FC Magdeburg,Uganda,1995-01-31,29,9300,8500,7200,RB,RM,,70
Musonda,Lubambo Musonda,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p246959.png,246959,1. FC Magdeburg,Zambia,1995-03-01,29,4200,3900,3300,LB,RM,,65
Emreli,Mahir Emreli,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p262800.png,262800,1. FC Nürnberg,Azerbaijan,1997-07-01,27,5500,5000,4300,ST,RW,,67
Soares,Danilo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p216283.png,216283,1. FC Nürnberg,Brazil,1991-10-29,32,8700,8000,6800,LB,,,71
Karafiát,Ondřej Karafiát,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p257533.png,257533,1. FC Nürnberg,Czech Republic,1994-12-01,29,5700,5200,4400,CB,CDM,,68
Villadsen,Oliver Villadsen,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p251908.png,251908,1. FC Nürnberg,Denmark,2001-11-16,22,6500,6000,5100,RB,,,70
Hungbo,Joseph Hungbo,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p245020.png,245020,1. FC Nürnberg,England,2000-01-15,24,4400,4000,3400,RM,,,67
Jeltsch,Finn Jeltsch,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p278780.png,278780,1. FC Nürnberg,Germany,2006-07-17,17,150,150,150,CB,,,65
Loune,Ali Loune,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p276310.png,276310,1. FC Nürnberg,Germany,2002-03-11,22,2000,1800,1500,CDM,CM,,61
Janisch,Tim Janisch,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p275594.png,275594,1. FC Nürnberg,Germany,2005-08-12,18,800,750,650,RM,RW,,56
Ortegel,Nicolas Ortegel,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p274989.png,274989,1. FC Nürnberg,Germany,2004-01-07,20,1000,950,800,GK,,,54
Hofmann,Jannik Hofmann,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p274565.png,274565,1. FC Nürnberg,Germany,2002-02-28,22,1800,1700,1400,RB,RM,RW,60
Jander,Caspar Jander,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p266422.png,266422,1. FC Nürnberg,Germany,2003-03-23,21,3200,2900,2500,CM,CAM,,66
